English,Image,Audio,Type,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Arabic,Chinese_HK,Chinese_CH,Chinese_TW,French,Dutch,German,Greek,Hindi,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese_BR,Portuguese_PT,Russian,Spanish,Thai,Vietnamese,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio,Tag
"Now, my subject is success,<br>so people sometimes call me a ""motivational speaker.""","<img src=""eight_traits_of_successful_people_000.jpg"">",[sound:eight_traits_of_successful_people_000.wav],Now my subject is success so people sometimes call me a motivational speaker,subject is success: main topic is success,motivational speaker: person who inspires others,,,His subject is success and resilience in business.,The company invited a motivational speaker to boost morale.,,,"الآن، موضوعي هو النجاح، وبالتالي الناس في بعض الأحيان يسمونني ""متحدث محفز""",,我的主题是关于成功的，<br>所以人们有时称呼我为“励志演说家”。,"我要講的主題是成功<br>因此有人稱我為""勵志演說家""","Je suis spécialisé dans le succès.<br>Du coup, on m’appelle parfois un « orateur inspirant ».",mama said it is so people sun times kwam,Mein Thema ist Erfolg.<br>Daher werde ich manchmal als Motivationsredner bezeichnet.,,,"Subjek saya tentang keberhasilan,<br>terkadang saya disebut sebagai pembicara motivasi.","Io mi occupo di successo,<br>per questo alcuni mi chiamano ""oratore motivazionale"".",私は「成功」をテーマにしているので 時に「自己啓発系講師」と呼ばれますが,"자, 제 주제는 성공인데<br>사람들은 때때로 저를 ""동기부여 연설가""라고 부릅니다.",,"Zajmuję się sukcesem,<br>więc czasem mówią na mnie: ""prelegent motywacyjny"".","O meu tema é o sucesso,<br>então às vezes as pessoas me chamam de ""orador motivacional.""","O meu tema é o êxito,<br>por isso, às vezes, chamam-me um ""orador motivador"",",Моя тема  это успех.<br>Иногда люди называют меня «оратор-мотиватор».,"Mi tema es el éxito,<br>por eso la gente a veces me llama orador motivacional.",หัวข้อของผมคือ ความสำเร็จ,"Chủ đề của tôi ngày hôm nay là sự thành công<br>thế nên, người ta thỉnh thoảng gọi tôi là người khích lệ.",[sound:hypertts-7e1c698ab2f275d3d5d705ee4cd4d9c28b9425b12e998e940f3f5e1f.mp3],[sound:hypertts-437b1cfdf9efae2f47f90f5589924be8d4f5083fdaef8b8bef0c8993.mp3],,,eight_traits_of_successful_people ted-ed
But I want you to know right up front I'm not a motivational speaker.,"<img src=""eight_traits_of_successful_people_001.jpg"">",[sound:eight_traits_of_successful_people_001.wav],But I want you to know right up front Im not a motivational speaker,"right up front: immediately, honestly",not a motivational speaker: denial of expected role,,,Let me say right up front that I disagree with that claim.,"Despite being inspiring, she insisted she was not a motivational speaker.",,,"ولكن أريدك أن تعرف حقًا، إنني لست ""متحدث محفز""",,但是我想让你们明确地知道， 我不是一个励志演说家。,但我得先讓你們知道,Mais que les choses soient claires : ce n’est pas le cas.,in ojai,"Aber ich will Ihnen gleich zu Beginn sagen, dass ich das nicht bin.",,,Tetapi perlu Anda ketahui bahwa saya bukanlah seorang pembicara motivasi.,Voglio che sia chiaro che non sono un oratore motivazionale.,ここではっきりさせておきたい 私は自己啓発系講師なんかではありません,하지만 솔직히 말해서 저는 동기부여 연설가가 아닙니다.,,"Musicie wiedzieć, że to nie jest prelekcja motywacyjna.",Mas quero que saibam que não sou um orador motivacional.,Mas quero que fiquem bem cientes de que não sou um orador motivador.,"Но я хочу, чтобы все знали: я  не оратор-мотиватор.",Pero quiero que sepan que no soy un orador motivacional.,"ดังนั้น บางทีคนอื่นก็เรียกผมว่า ""นักพูดสร้างแรงจูงใจ""",Nhưng tôi muốn các bạn biết rằng tôi không phải người khích lệ.,[sound:hypertts-08bd9a0fd33de9a38c34bd94a0f68c978734daf6d86fc30f80276ecd.mp3],[sound:hypertts-02099ca194654ed0646f1d134248d0936837a0eabf61373d784db3ce.mp3],,,eight_traits_of_successful_people ted-ed
I couldn't pass the height requirement.,"<img src=""eight_traits_of_successful_people_002.jpg"">",[sound:eight_traits_of_successful_people_002.wav],I couldnt pass the height requirement,height requirement: minimum/maximum height needed,,,,He failed to join the military because he didn’t meet the height requirement.,,,,فطولي أقل من الحد المسموح به,,（因为）我达不到身高要求，,因為我達不到身高限制,Je ne possède même pas la taille adéquate !,guys my work warme plek het model body,Ich war leider nicht groß genug dafür.,,,Tinggi badan saya tidak mencukupi.,Non soddisfo il requisito dell'altezza.,身長が必要条件を満たしてませんし,키에 대한 자격요건을 통과할 수 없었죠. (웃음),,Brakuje mi odpowiedniego wzrostu.,Eu não atendo aos requisitos de altura.,Nem sequer tenho altura para isso.,Я не прошёл требование по росту.,No puedo estar a la altura de esos requisitos.,แต่ผมอยากให้พวกคุณเข้าใจเสียก่อน ว่าผมไม่ใช่นักพูดสร้างแรงจูงใจ,Tôi không đáp ứng yêu cầu về chiều cao.,[sound:hypertts-c513983711c0384495782ebe63ca9aeb422b8427e4b620ff32e261e5.mp3],,,,eight_traits_of_successful_people ted-ed
(Laughter)<br>And I couldn't motivate anybody.,"<img src=""eight_traits_of_successful_people_003.jpg"">",[sound:eight_traits_of_successful_people_003.wav],And I couldnt motivate anybody,motivate anybody: inspire no one,,,,The speech was so dull it couldn’t motivate anybody.,,,,(ضحك)<br>ولا يمكنني أن أحفز أحدًا,,并且我没法激励任何人。,所以我無法激勵任何人,( Rires )<br>Je suis incapable de motiver qui que ce soit.,,(Lachen)<br>Und ich konnte nie jemanden motivieren.,,,(Gelak tawa)<br>Dan saya tidak bisa memotivasi siapapun.,E non potrei motivare nessuno.,誰かを啓発できた試しもありません,누구한테 동기부여를 할 수 없었어요.,,(Śmiech)<br>I nie mógłbym nikogo motywować.,E não conseguia motivar ninguém.,(Risos)<br>E não conseguiria motivar ninguém.,Я не смог мотивировать кого-либо.,Y no podría motivar a nadie.,ผมไม่ผ่านเกณฑ์ที่สูงแบบนั้นหรอก,Và tôi cũng không khích lệ được ai cả.,[sound:hypertts-de942f289166f9cd2e0d520d91d35894a6f2b00f8c0bf78d668a72af.mp3],,,,eight_traits_of_successful_people ted-ed
My employees actually call me a de-motivational speaker.,"<img src=""eight_traits_of_successful_people_004.jpg"">",[sound:eight_traits_of_successful_people_004.wav],My employees actually call me a demotivational speaker,de-motivational speaker: someone who discourages others,,,,He joked that he was more of a de-motivational speaker than anything else.,,,,موظفيني في الواقع يدعونني المتحدث المحبط,,实际上我的雇员称我是一个“非励志”演说家,我的員工反而覺得,Mes employés me surnomment le démotivateur.,mijn plooi zet je kan je die,Meine Angestellten nennen mich sogar einen De-Motivationsredner.,,,Atasan saya malah menjuluki saya sebagai seorang penyurut semangat.,"I miei dipendenti mi chiamano ""oratore de-motivazionale""",うちの社員なんか 私を 啓発しない系講師だと言っています,직원들은 저를 용기를 꺾는 연설가라고 하죠.,,"Moi pracownicy mówią, że wręcz odbieram motywację.","Meus empregados na verdade me chamam de ""orador desmotivativo"".","Os meus empregados até me chamam um ""orador desmotivador"".",Мои сотрудники обычно называют меня оратор-демотиватор.,Mis empleados realmente me llaman orador desmotivante.,และผมก็ไม่สามารถจูงใจใครได้,Nhân viên của tôi gọi tôi là người diễn thuyết không khích lệ.,[sound:hypertts-3e104593d6bf8bfbb8b856ccce31896994a2018606a85899c6ca31a1.mp3],,,,eight_traits_of_successful_people ted-ed
(Laughter)<br>What I try to be is an informational speaker.,"<img src=""eight_traits_of_successful_people_005.jpg"">",[sound:eight_traits_of_successful_people_005.wav],What I try to be is an informational speaker,informational speaker: someone who shares knowledge rather than inspires,,,,The professor described himself as an informational speaker.,,,,(ضحك)<br>ما أحاول أن أكونه هو متحدث معلوماتي,,我想成为的是一个给大家提供丰富知识的演说家<br>我想成为的是一个给大家提供丰富知识的演说家,但我希望觀眾 能因為我的演講有所收穫<br>但我希望觀眾 能因為我的演講有所收穫,( Rires )<br>J’essaye d’être un orateur-éducateur.,,Ich versuche ein informativer Redner zu sein.<br>Ich versuche ein informativer Redner zu sein.,,,Saya hanya mencoba menjadi pembicara yang memberi informasi.<br>Saya hanya mencoba menjadi pembicara yang memberi informasi.,"Io cerco di essere un oratore ""informativo"".<br>Io cerco di essere un oratore ""informativo"".",私は情報提供者になろうと しているだけなんです<br>私は情報提供者になろうと しているだけなんです,제가 되고자 하는 사람은 정보를 주는 연설가입니다.<br>제가 되고자 하는 사람은 정보를 주는 연설가입니다.,,Staram się raczej informować.,O que tento ser é um orador informacional.<br>O que tento ser é um orador informacional.,(Risos)<br>O que tento ser é um orador informativo.,Я стараюсь быть информирующим оратором.<br>Я стараюсь быть информирующим оратором.,Lo que trato de ser es un orador informativo.<br>Lo que trato de ser es un orador informativo.,สิ่งที่ผมพยายามจะเป็นคือ นักพูดซึ่งนำเสนอข้อมูล<br>สิ่งที่ผมพยายามจะเป็นคือ นักพูดซึ่งนำเสนอข้อมูล,Điều mà tôi cố gắng trở thành là một người diễn thuyết hiểu biết.<br>Điều mà tôi cố gắng trở thành là một người diễn thuyết hiểu biết.,[sound:hypertts-611c85e36a02a8338199caaeb303d29552cb5ba6cba7cb0365e1bc90.mp3],,,,eight_traits_of_successful_people ted-ed
"I went out and found out some information about success,<br>and I'm just here to pass it on.","<img src=""eight_traits_of_successful_people_006.jpg"">",[sound:eight_traits_of_successful_people_006.wav],I went out and found out some information about success and Im just here to pass it on,pass it on: share knowledge with others,found out some information: discovered facts,,,She promised to pass it on to the next generation.,He found out some information about the new project yesterday.,,,لقد خرجت ووجدت بعض المعلومات عن النجاح<br>وأنا هنا فقط لأنقلها لكم,,我去做了一些调查，并且找出了一些关于成功的信息<br>今天我在这里的目的就是把我的经验传承下去,我四處尋找成功的秘訣<br>而現在，我把它交付到你們手上,J’ai observé et découvert des informations sur le succès.<br>Je ne fais que les transmettre.,anders hem information about succes and<br>unjust europe a thorough and my story,Ich sammle Informationen über Erfolg<br>und vermittele diese nur weiter.,,,"Ada beberapa informasi mengenai keberhasilan yang saya temukan,<br>dan akan saya bagikan di sini.",Ho cercato e trovato alcune informazioni sul successo<br>e sono qui per trasmetterle.,私は成功の秘訣について 情報を集めてきました<br>その情報を今日 皆さんにお伝えします,저는 성공에 관한 정보를 찾았습니다.<br>그리고 그 정보를 전달하려고 합니다.,,Zdobyłem pewne informacje na temat sukcesu i chcę je przekazać.,"Busquei algumas informações sobre sucesso,<br>e estou aqui só para passá-las adiante.",Andei por aí e encontrei informações sobre o êxito<br>e estou aqui para as partilhar.,"Я как-то решил изучать успешных людей.<br>Я здесь, чтобы рассказать вам о них.","Salí y reuní información sobre el éxito,<br>y estoy aquí para transmitirlo.",ผมได้พยายามจนค้นพบข้อมูลบางอย่าง เกี่ยวกับความสำเร็จ<br>ผมจึงมาที่นี่เพื่อถ่ายทอดให้ทุกคนได้รับรู้,"Tôi tìm thấy vài thông tin về sự thành công,<br>và tôi đứng đây chỉ để chia sẻ điều đó.",[sound:hypertts-8e766772802715d435f82e9ca7134ac3bc27151bc4ab8417036d13d7.mp3],[sound:hypertts-8f407ceec3c576c5e1fb31ff9fc3239e6c232c671c0efdd3dd21e96a.mp3],,,eight_traits_of_successful_people ted-ed
"And my story started over ten years ago, on a plane.","<img src=""eight_traits_of_successful_people_007.jpg"">",[sound:eight_traits_of_successful_people_007.wav],And my story started over ten years ago on a plane,started over ten years ago: began more than a decade earlier,on a plane: in an airplane,,,His career started over ten years ago in a small studio.,She wrote her first book on a plane to New York.,,,بدأت قصتي منذ أكثر من 10 سنوات، على متن طائرة,,我的故事开始于十年前的一架飞机上。,這得追朔到十年前 我在飛機上的一個小故事,"Mon histoire a débuté dans un avion, il y a 10 ans.",story over 10 years ago and play,Meine Geschichte begann vor über 10 Jahren in einem Flugzeug.,,,"Semua berawal lebih dari sepuluh tahun lalu, di atas pesawat.","La mia storia inizia più di 10 anni fa, su un aereo.",かれこれ10年以上も前 飛行機に乗った時のことです,제 얘기는 10년 전 비행기에서 비롯됐어요.,,"Moja historia zaczęła się ponad dziesięć lat temu, w samolocie.","A minha história começou há mais de dez anos, em um avião.","A minha história começou há 10 anos, num avião.",Моя история началась более 10 лет назад в самолёте.,Mi historia comenzó en un avión hace más de diez años.,เรื่องของผมเริ่มขึ้นเมื่อ 10 กว่าปีที่แล้ว บนเครื่องบิน,"Câu chuyện của tôi bắt đầu từ 10 năm trước, trên 1 chuyến bay.",[sound:hypertts-382a7cfcd5914b17aac4f275c5f552cddcdb4bf7b1e14b999e69c544.mp3],[sound:hypertts-9b136d31b70130376f57763f1acafc7209569609169cef955b98df60.mp3],,,eight_traits_of_successful_people ted-ed
"I was on my way to the TED conference in California,<br>and in the seat next to me was a teenage girl,<br>and she came from a really poor family, but she wanted to get somewhere in life.","<img src=""eight_traits_of_successful_people_008.jpg"">",[sound:eight_traits_of_successful_people_008.wav],I was on my way to the TED conference in California and in the seat next to me was a teenage girl and she came from a really poor family but she wanted to get somewhere in life,on my way to: traveling toward,poor family: lacking wealth,get somewhere in life: achieve success,,She was on her way to an important meeting.,He grew up in a poor family but never gave up.,She studied hard because she wanted to get somewhere in life.,,وكنت في طريقي إلى مؤتمر TED في كاليفورنيا<br>وفي المقعد المجاور لي كانت تجلس فتاة مراهقة<br>وكانت من أسرة فقيرة حقًا، ولكنها مصممة على أن تجد لها مكان جيد في الحياة,,我正在前往在加州的TED会议的路上。<br>坐在我旁边的是一个十几岁的女孩儿，<br>她来自一个很穷困的家庭，但是她渴望成功的人生,那時我正前往加州參加TED大會<br>坐在我旁邊的是一個青少女<br>她來自貧困的家庭,"Je me rendais à une conférence TED en Californie.<br>Ma voisine de voyage était une adolescente<br>issue d'une famille démunie, mais avec la volonté de réussir.",oh mama weet je de tijd kan fans in<br>californië en in de ziet niks te missen<br>dus ik geef me riep or family plus i,"Ich war auf dem Weg zur TED-Konferenz in Kalifornien<br>und neben mir saß ein junges Mädchen im Teenageralter.<br>Sie kam aus einer armen Familie, aber sie wollte etwas in ihrem Leben erreichen.",,,"Dalam perjalanan menuju konferensi TED di California,<br>seorang gadis remaja duduk di kursi sebelah saya,<br>dan meski berasal dari keluarga papa, dia bertekad untuk berhasil dalam hidupnya.","Mi stavo recando ad una conferenza TED in California,<br>e seduta accanto a me c'era una ragazzina,<br>di una famiglia molto povera, ma voleva avere successo.",カリフォルニア州で行われた TEDに参加するためです<br>隣の座席には10代の少女が 座っていました<br>貧しい家庭の出ながら 人生何とかしたいと思っている子で,저는 캘리포니아의 TED 회의에 가는 길이었는데<br>제 옆자리에 10대 소녀가 앉았고<br>그녀는 아주 가난한 집안출신이었지만 삶에서 어딘가에 다다르고 싶어했어요.,,"Leciałem na konferencję TED w Kalifornii,<br>a obok mnie siedziała nastolatka.<br>Pochodziła z bardzo biednej rodziny,","Eu estava indo para a conferência do TED na Califórnia,<br>e no banco ao lado estava uma garota adolescente,<br>e ela vinha de uma família bem pobre, mas queria vencer na vida.","Eu estava a caminho da conferência TED, na Califórnia,<br>e no lugar ao meu lado estava uma adolescente<br>que pertencia a uma família pobre mas queria ser alguém na vida.","Я летел в Калифорнию на конференцию TED,<br>рядом со мной сидела девочка-подросток.<br>Она была из очень бедной семьи, но хотела добиться чего-то в жизни.","Iba camino a la conferencia de TED en California,<br>y en el asiento de al lado había una adolescente,<br>que provenía de una familia muy pobre que quería tener su lugar en el mundo.",ณ ที่นั่งข้าง ๆ ผม คือเด็กสาววัยรุ่นคนหนึ่ง<br>เธอมาจากครอบครัวที่จนมาก และเธอต้องการจะมีชีวิตที่ดีขึ้น,"Trên đường đến hội thảo TED ở California,<br>và ngay cạnh tôi là 1 cô bé tuổi teen,<br>xuất thân từ 1 gia đình rất nghèo, nhưng cô bé muốn vươn lên.",[sound:hypertts-2c6b067ed4a1bfe79423a493390fdfaf618494eeda6e0ad9d893eae2.mp3],[sound:hypertts-18de7da1bbae2f423685b1756fb7c14a0b9c4b7ef342aeb121fc200f.mp3],[sound:hypertts-b1c1d8f92e3d15cdd5647edfd2f5e26411723963523f5e46422bd747.mp3],,eight_traits_of_successful_people ted-ed
"And as I tapped away on my computer, she kept asking me questions,<br>and then out of the blue, she asked, ""Are you successful?""","<img src=""eight_traits_of_successful_people_009.jpg"">",[sound:eight_traits_of_successful_people_009.wav],And as I tapped away on my computer she kept asking me questions and then out of the blue she asked Are you successful,tapped away: typed continuously,"out of the blue: suddenly, unexpectedly",,,He tapped away on his laptop until midnight.,"Out of the blue, she called after ten years of silence.",,,"وأثناء نقري على جهاز الكمبيوتر الخاص بي، استمرت في سؤالي أسئلة<br>وثم و بلا مقدمات، سألت ""هل أنت ناجح؟""",,当我打开我的电脑 她不断地问我问题<br>之后，她出其不意的问到说：”你成功么“,而當我在用電腦的時候 她不停地問我問題<br>忽然地，她問：「你成功嗎？」,"Elle me posait plein de questions alors que je travaillais sur mon PC.<br>Brusquement, elle m'a demandé : « Avez-vous réussi dans la vie ? »",my computer she she kept as kimmy<br>questions ben enthousiast je succesvol,"Während ich auf meinem Computer arbeitete, stellte sie ständig Fragen.<br>Dann fragte sie plötzlich: ""Sind Sie erfolgreich?""",,,"Dan sementara saya mengetik di komputer, ia terus bertanya,<br>lalu ia bertanya, ""Apakah kamu sukses?""","Mentre scrivevo sul computer, continuava a farmi domande<br>e di punto in bianco, mi chiese: ""Sei un uomo di successo?""",コンピューターで仕事をしている間 質問攻めにあいました<br>そして藪から棒に聞かれました 「あなたは成功者ですか？」,"제가 컴퓨터를 치니까 그녀가 계속 묻더군요.<br>그리고는 갑자기 질문을 했어요. ""당신은 성공했나요?""",,"Podczas gdy ja pisałem na laptopie, zasypywała mnie pytaniami.<br>Nagle wyskoczyła z pytaniem: ""Czy odniosłeś sukces?"".","Enquanto eu digitava no computador, ela me fazia perguntas,<br>e então de repente ela perguntou: ""Você é bem-sucedido?""","Enquanto eu trabalhava no meu computador, ela começou a fazer-me perguntas<br>e, de repente, sem mais, perguntou: ""O senhor tem êxito?""","Пока я был погружён в работу с компьютером, она всё задавала мне вопросы.<br>Вдруг она спросила: «Вы успешны?»","Y cuando dejé de teclear en mi equipo, me hizo preguntas,<br>y de la nada, me preguntó: ""¿Es Ud. una persona de éxito?""","และขณะที่ผมกำลังง่วนอยู่กับคอมพิวเตอร์ เธอก็เฝ้าถามคำถามผมมากมาย<br>ทันใดทั้นเธอก็โพล่งถามผมขึ้นมาว่า ""คุณประสบความสำเร็จหรือเปล่า?""","Khi tôi gõ máy tính, cô bé liên tục đặt câu hỏi:<br>"" Bác thành công chứ?""",[sound:hypertts-77c6cb9e3a75d905a9a8f1d9f973128cc9b47113042ff707156e75cd.mp3],[sound:hypertts-954f9d700a2be799bdf1416efe3a6be2fc0653d51eef39f89912e131.mp3],,,eight_traits_of_successful_people ted-ed
